word	stem	TP	wordfreq	stemfreq
maglantad	lantad	0.007516973811833172	62	8248
paghaluin	halo	0.026911442578491707	516	19174
ihahalo	halo	0.0050589339730885575	97	19174
nahahaling	hali	0.0034191110311319055	19	5557
saboy	saboy	0.05092592592592592	33	648
guguluhin	gulo	0.009431902537007118	216	22901
punlang	punla	0.025157232704402517	68	2703
pansilaw	nsilaw	0.6666666666666666	2	3
barilang	barila	0.5909090909090909	13	22
paglapastangan	lapasta	0.8042168674698795	801	996
dinalupihan	dalupi	0.9771689497716894	214	219
asuwang	asuwa	0.9607843137254902	49	51
paghiyaw	hiyaw	0.028234564070741545	91	3223
mambibili	bili	3.2629621170098216e-05	2	61294
pambibigla	bigla	1.823519757836576e-05	1	54839
paglilihing	lihi	0.0006273525721455458	1	1594
magpatala	tala	0.019554007901962097	584	29866
tapayan	tapay	0.015364825269777746	215	13993
sumalok	salok	0.40941176470588236	174	425
tikman	tikam	0.2749326145552561	1122	4081
nanggilalas	gilalas	0.8421052631578947	288	342
karpentero	dpentero	0.848314606741573	151	178
krizzy	krizzy	1.0	26	26
magkakausap	kausap	0.00673451062556121	90	13364
nagproduce	produce	0.10939167556029883	205	1874
pagkakalalang	lala	0.00018050541516245486	7	38780
natutuklas	tuklas	0.0007540767273070035	16	21218
eskosesang	eskosesa	0.25	2	8
manaloto	naloto	1.0	305	305
kulasimang	kulasima	1.0	1	1
pangtalento	talento	0.0007283321194464676	4	5492
nakisulat	kisulat	0.5	3	6
pangtalamitang	talamita	1.0	1	1
pinatibayan	tibay	0.0010485371215964822	31	29565
nagtatak	tak	0.007129761662253004	70	9818
isinagisag	sinagisag	1.0	6	6
paghakbang	hakba	0.0090521675238795	308	34025
kumpilasyong	kumpilasyo	1.0	2	2
inaming	ami	0.0024854206125214293	332	133579
tagapagtanggap	pagtanggap	0.4230769230769231	11	26
ipinabago	pinabago	1.0	12	12
natatakang	taka	0.00021002520302436292	3	14284
prisinta	prisinta	0.02176696542893726	17	781
tinugunan	tugon	0.005405405405405406	257	47545
tinatampok	tampok	0.0018641066268990586	40	21458
nagsasaplaka	saplaka	0.05263157894736842	1	19
kasibulan	sibol	0.014857416726575605	62	4173
magsimulan	gsimol	0.5	1	2
pangkatapusang	katapusa	1.0	16	16
natalaga	talaga	0.00041448420558416597	113	272628
aalahas	aalahas	0.0070921985815602835	1	141
maihayag	tihayag	0.5594470046082949	607	1085
maritoni	ditoni	0.9769230769230769	127	130
hintuang	hintua	0.375	3	8
kumukonekta	kukonekta	0.8484848484848485	28	33
maugong	tugo	0.5733157199471598	434	757
busilak	busilak	0.9287974683544303	587	632
panghabambuhay	habambo	0.1078811369509044	334	3096
nagwawatak	watak	0.009836065573770493	3	305
nagsiklab	siklab	0.0217441591487393	94	4323
napatubog	patubog	1.0	3	3
pagpupuna	puna	0.0034307100530200645	33	9619
nagpapaamo	tamo	0.0006722024515618822	17	25290
nakapangasawa	kapangasawa	1.0	125	125
aagawang	aagawa	0.0071301247771836	12	1683
mapalakbay	palakb	0.3333333333333333	2	6
dumarayong	darayo	0.036036036036036036	28	777
masisilayan	silay	0.01225997872697755	438	35726
nagkatuluyan	katuloy	0.4160839160839161	357	858
kayod	kayod	0.34043778801843316	591	1736
aakitin	aakit	0.07818532818532818	81	1036
mabibisto	bisto	0.04578488372093023	63	1376
masasandalan	sandal	0.05391621129326048	148	2745
mababaldado	baldado	0.0027624309392265192	1	362
magpapaka	paka	0.0026627426249036506	38	14271
lalayas	layas	0.01785465197377598	128	7169
nangangalawa	angalawa	0.11475409836065574	7	61
napangasawang	pangasawa	0.015178571428571428	17	1120
umigib	umigib	1.0	154	154
kaparasuhang	parasuha	1.0	1	1
ibinubunga	binubunga	0.9410112359550562	335	356
naaabusong	taabuso	0.0611353711790393	14	229
mapantayang	taya	0.001309233734589228	36	27497
napakapambihirang	pakapambihira	0.6086956521739131	14	23
pagpako	pako	0.011060507482108002	102	9222
toym	toym	1.0	52	52
nakakahuli	huli	0.00048569850764143476	73	150299
nakakasalok	salok	0.004705882352941176	2	425
nakakalagos	lagos	0.000726920281075842	3	4127
rogel	dogel	0.9647887323943662	137	142
adlib	adlib	0.8944954128440367	195	218
makipagsabayan	pagsabay	0.9933244325767691	744	749
umuuwing	umuuwi	0.06095143706640238	123	2018
luhaan	luha	0.03911539040168497	520	13294
lumalagare	lagare	0.031073446327683617	11	354
maanyayahan	tanyaya	0.02193548387096774	34	1550
piyestahan	piyesta	0.02106430155210643	38	1804
jomar	jomar	0.9977924944812362	904	906
pagpupunlang	punla	0.0003699593044765076	1	2703
pagsasawata	sawata	0.003909304143862392	5	1279
nakipagsanduguan	kipagsandugo	0.5	3	6
ikang	ika	0.004356520497071847	61	14002
nakikikain	kika	0.30128205128205127	47	156
sinasalanta	salanta	0.030596436870642913	158	5164
naaapektuhang	taapektuha	0.1	17	170
binabansang	bansa	3.330524590928317e-06	1	300253
tinarget	target	0.01991150442477876	315	15820
katorse	torse	0.9863481228668942	289	293
tumilaok	tilaok	0.53125	340	640
maghangas	hangas	0.08333333333333333	1	12
nanghahabol	habol	0.0023187821352958966	46	19838
tumalab	talab	0.10592069527430745	195	1841
naparusahang	parusaha	0.021406727828746176	7	327
taralets	taralets	1.0	15	15
kinamulatang	mulata	0.20430107526881722	19	93
gantimpalapinangalanan	ntimpalapinangalan	1.0	1	1
valeen	valeen	1.0	127	127
nagmahal	mahal	0.017224498676433258	1900	110308
binubup	bop	0.02459016393442623	3	122
produksyon	produksyon	0.9971798046498831	14497	14538
napagkakamali	kakamali	0.03278688524590164	2	61
pinakamahigpit	kamahigpit	0.9484126984126984	239	252
isasaisip	saisip	0.040880503144654086	39	954
pinaganda	anda	0.0020279760369191963	283	139548
magkarga	karga	0.039911918524635284	145	3633
bibihisan	bihis	0.007845934379457917	44	5608
sasayaw	sayaw	0.021330489268097587	320	15002
gagamitan	gamit	0.0007907964294999566	292	369248
ikamamangha	pangha	0.001441515650741351	7	4856
ipagmamalaki	palaki	0.008438818565400843	378	44793
ipapaliwanag	paliwanag	0.13440594059405941	1086	8080
tagapagpasimula	pagpasimula	0.17142857142857143	6	35
bumabangga	bangga	0.009751672525229618	86	8819
ibababaw	bababaw	0.017985611510791366	5	278
patronang	trona	0.0037105751391465678	2	539
naisasalarawan	tisasalaraw	0.22058823529411764	15	68
pambuod	buod	0.0009681881051175657	7	7230
kinakapitan	kapit	0.030383874314510152	205	6747
hinaliling	halili	0.0001515610791148833	1	6598
abrebiasyon	abrebiasyon	1.0	1	1
nunuang	nua	0.006622516556291391	1	151
hinekolohiya	hekolohiya	1.0	95	95
nagpaanak	tanak	0.11224489795918367	44	392
pinakakonserbatibong	kakonserbatibo	0.06896551724137931	2	29
nagkakabanggaan	bangga	0.0028347885247760516	25	8819
saluhin	salo	0.05499379102359411	310	5637
sinasarsahan	sarsa	0.003389830508474576	2	590
panlutuing	lutui	0.0017825311942959	1	561
manggaya	gaya	0.0012327877513731275	112	90851
intuisyonistikong	tuisyonistiko	1.0	2	2
pampantikan	tikan	0.0018679950186799503	3	1606
nagdi	nagdi	1.0	13	13
pinagasamang	asama	0.017241379310344827	1	58
mahahahabang	hahahaba	0.4	2	5
humuhuni	huni	0.10483870967741936	65	620
paghuhuni	huni	0.0016129032258064516	1	620
pabulosong	buloso	0.875	7	8
napakatagumay	pakatagom	1.0	2	2
maawat	tawat	0.3442776735459662	367	1066
ryza	dyza	1.0	617	617
natuturing	turi	0.00011049723756906077	4	36200
makapareha	pareha	0.07940821256038648	263	3312
fantasya	fantasya	0.9186046511627907	79	86
pagbibida	bida	0.01686730123180291	241	14288
pagpapataob	pataob	0.024752475247524754	5	202
nadaan	daan	0.0007523222589937592	193	256539
nagpahuli	pahuli	0.49761336515513127	417	838
pagdeklara	deklara	0.04623581986937092	538	11636
kinonsepto	konsepto	0.0006848728704734184	8	11681
makahalubilo	halubilo	0.06881533101045297	79	1148
pinalolotarya	lotarya	0.6666666666666666	2	3
groupo	groupo	0.9345238095238095	157	168
pinamagatangakb48	atangakb48	1.0	2	2
magsasara	sara	0.03141704488149269	623	19830
kinanselang	nsela	0.043960475902399675	218	4959
maghahandog	handog	0.028938016338210183	627	21667
ipagpapaliban	liban	0.006484900123071098	274	42252
nakoko	koko	0.00031075201988812925	1	3218
lilikhaing	likhai	0.03248898678414097	59	1816
iniindorso	iindorso	0.643312101910828	101	157
pinakamalas	kamalas	0.19047619047619047	20	105
maguumpisa	uumpisa	0.2933227344992051	738	2516
inilibabas	libabas	1.0	1	1
paghusayan	husay	0.0014312451833094792	117	81747
isinahihimpapawid	sahihimpapawid	1.0	5	5
pinaiklian	tikli	0.00021392204680614383	5	23373
panauning	nauni	1.0	1	1
nasugbu	sugbo	0.5754884547069272	648	1126
galvante	lvante	0.9956896551724138	462	464
ilacad	lacad	0.2621359223300971	81	309
sintas	sintas	0.953551912568306	349	366
naisusukbit	tisusukbit	0.16666666666666666	1	6
pampagsusuri	susuri	0.03296703296703297	3	91
nagkabanggaan	kabangga	0.12547528517110265	99	789
nagbanggaan	bangga	0.01757568885361152	155	8819
palikuan	liko	0.0005058168942842691	2	3954
apunong	apuno	0.014492753623188406	1	69
pinagdadaluhan	dalo	6.0584030049678906e-05	1	16506
naghuhulo	hulo	0.0017035775127768314	1	587
itinititik	tititik	0.04878048780487805	2	41
kumikiwal	kiwal	0.15476190476190477	13	84
kiwal	kiwal	0.44047619047619047	37	84
pagkakilanlang	kilanla	0.06521739130434782	6	92
pinagyelong	pagyelo	0.21739130434782608	5	23
pakikihamok	kihamok	0.8044692737430168	144	179
pagdedebateng	debate	0.00011376564277588168	1	8790
mahimulmol	himulmol	0.39436619718309857	28	71
maiimbak	tiimbak	0.8	140	175
inihahanay	ihahan	1.0	34	34
upahang	upaha	0.5598290598290598	131	234
mapagyabang	pagyaba	0.030959752321981424	10	323
pinakamahahabang	mahahaba	0.9166666666666666	11	12
pinakasentro	kasentro	0.15074309978768577	284	1884
tawirang	tawira	0.4	4	10
dumurugtong	durugto	0.020905923344947737	6	287
ipinuna	pinuna	0.0016	4	2500
establisimiyento	establisimiyento	0.9395770392749244	622	662
kahaban	haban	0.17543859649122806	20	114
baywalkkung	baywalkko	1.0	2	2
plasaikinuwestiyon	plasaikinuwestiyon	1.0	2	2
nakasasama	sasama	0.7197724039829303	506	703
unaryang	unarya	1.0	2	2
panakda	nakda	1.0	1	1
pamahaging	hagi	0.00034647033347769596	4	11545
maiaakmang	aakma	0.015625	2	128
nahindi	hindi	0.00010015050708227252	178	1777325
patunayang	tunaya	0.29743354720439963	649	2182
pagninipis	nipis	0.00019162594615310913	2	10437
pinutulan	putol	0.013431366873154634	232	17273
tinalbusang	talbusa	1.0	2	2
maluluwag	luwag	0.016561611667284638	134	8091
diyetaryo	diyetaryo	0.6666666666666666	2	3
nagtatranskriba	tatranskriba	0.21739130434782608	5	23
nagsasaling	sali	0.0002725092653150207	5	18348
mapapakinabangang	pakinabanga	0.9285714285714286	52	56
makakaangkop	angkop	0.0009104358711733243	16	17574
magregula	degula	0.18181818181818182	12	66
nangangahuluan	angahulo	0.3125	5	16
itinatapong	tinatapo	1.0	25	25
pagkokomberte	komberte	0.3076923076923077	4	13
alugin	alog	0.0009619588981198076	44	45740
paggagnap	gagnap	0.5	1	2
ihahalintulad	halintulad	0.03571428571428571	109	3052
pahapyaw	hapyaw	0.931758530183727	355	381
pantigan	tigan	0.0011724946548037796	17	14499
kumokonberte	konberte	0.11428571428571428	4	35
niregulang	degula	0.10606060606060606	7	66
bersiyong2	bersiyong2	1.0	1	1
pampaggagamot	gagamot	0.010416666666666666	1	96
humahalintulad	halintulad	0.00163826998689384	5	3052
empake	empake	0.09223300970873786	19	206
pinaliwanag	liwanag	0.007400348979667603	598	80807
naumpisahan	tumpisa	0.5214067278287462	341	654
umaakma	umaakma	0.987012987012987	76	77
napakamura	pakamura	0.5526315789473685	147	266
binebentang	benta	0.003615038560411311	135	37344
maipagisa	tipagisa	0.6666666666666666	2	3
nagsasamasama	sasamasama	0.09812472743131269	225	2293
nagpapamigay	pigay	0.011056511056511056	27	2442
mapagpahintulot	pagpahintulot	0.7777777777777778	7	9
pagpapalisensiya	palisensiya	0.8235294117647058	14	17
sesyum	sesyom	1.0	1	1
napakareaktibo	pakareaktibo	1.0	1	1
orihin	ori	0.007380073800738007	2	271
inaaring	aari	0.012004516550781483	202	16827
pamamanang	pana	0.00014238929232521716	1	7023
pinapasya	pasya	0.0005350136725716324	9	16822
pagtutudla	tudla	0.010362694300518135	2	193
dinayang	daya	0.004667989263624693	40	8569
bombahin	bomba	0.030023752969121142	316	10525
pagkabalik	kabalik	0.05499276410998553	266	4837
makakaseguro	kaseguro	0.028089887640449437	5	178
pakikipanirahan	kipanira	0.3	3	10
pwes	pwes	1.0	399	399
niloloko	loko	0.12235399132874267	1919	15684
pangkababaihang	babaiha	0.5714285714285714	4	7
ipinaparagan	pinaparag	1.0	1	1
pinapasadya	pasadya	0.025179856115107913	14	556
pangmalalaking	lalaki	0.000612369871402327	1	1633
pinagtnubayan	tnubay	0.0003861003861003861	2	5180
pagtagpuin	tagpo	0.0010696932337370367	59	55156
pinapatunubayan	patunubay	1.0	1	1
salitaan	salita	0.0009980642196298342	215	215417
sasalitan	salit	0.0025396825396825397	4	1575
nililikhay	likhay	0.00881057268722467	2	227
pinamahusay	husay	8.563005370227653e-05	7	81747
naglalabasn	labasn	0.3333333333333333	3	9
tumatantiya	tantiya	0.003355704697986577	6	1788
natutunang	tuna	0.005957836846929423	273	45822
nagtatatak	tatatak	0.012440191387559809	13	1045
sinsubukang	sinsubuka	1.0	3	3
heneratibong	heneratibo	1.0	1	1
sumasyong	sasyo	0.3333333333333333	2	6
tinututunan	tututon	0.0015349194167306216	4	2606
regularisasyong	degularisasyo	1.0	4	4
regularisasyon	degularisasyon	1.0	108	108
tatakng	takng	0.5	3	6
pinapatunabay	patunab	1.0	3	3
pinapatunabayan	patunabay	1.0	3	3
habulin	habol	0.11089827603589071	2200	19838
taluwalagin	taluwalag	0.125	1	8
pampakilalang	lala	2.5786487880350696e-05	1	38780
magiisang	giisa	0.9606003752345216	512	533
ipagsabay	sabay	0.0010247468722278303	67	65382
nakakasaklaw	saklaw	0.0005994754589733983	8	13345
pagsasaisa	saisa	0.0021272481144846258	11	5171
pinakabaliw	kabaliw	0.049429657794676805	13	263
dinapuan	dapo	0.2490534286916281	592	2377
ikinahig	kinahig	1.0	3	3
tatablan	tabal	0.046065259117082535	48	1042
pinamamalagiang	lagia	0.0010167768174885613	2	1967
napagpasukan	pagpasok	0.018691588785046728	2	107
nadaigan	daig	0.0002860411899313501	1	3496
natatangap	tangap	0.06221646143875567	96	1543
gagamutin	gamot	0.0007597844332538211	215	282975
isinasapangalan	sinasapangal	1.0	3	3
pagsasentro	sasentro	0.8333333333333334	10	12
etnolingguwistika	etnolingguwistika	1.0	3	3
etnolingguwista	etnolingguwista	1.0	3	3
oryentasyong	oryentasyo	0.9933774834437086	150	151
manghaharang	nghahara	1.0	34	34
toldang	tolda	0.11135057471264367	310	2784
binabakuran	bakod	0.007524946834614755	46	6113
nagpapalis	palis	0.00516795865633075	2	387
pakealam	kealam	0.7777777777777778	224	288
kasungitan	sungit	0.032017075773746	60	1874
pumuyag	puyag	0.3333333333333333	1	3
kinaiinggitan	inggit	0.04763000460193281	207	4346
nagparaya	paraya	0.15109034267912771	97	642
niyong	niyo	0.09764964491038214	4620	47312
palalampasin	lampas	0.028771438571928598	411	14285
nakakaiyak	iyak	0.06952227182068572	732	10529
nilasa	lasa	0.004599121361889072	67	14568
kumantaat	ntaat	0.4444444444444444	4	9
napapahanga	hanga	0.0023781212841854932	46	19343
ngunitsiya	ngunitsiya	1.0	1	1
mabinyagan	binyag	0.06922209695603157	307	4435
inililistang	lista	0.00014411713841009974	5	34694
ikinukumpisal	kinukumpisal	1.0	214	214
ipanibago	nibago	0.0009218713989398478	12	13017
ikinamit	kinamit	1.0	1	1
magpatawad	tawad	0.07102291272276258	1088	15319
pagpaparing	pari	5.5190683812572435e-05	1	18119
ipinangangasiwa	angasiwa	0.0036968576709796672	34	9197
nasasakol	sakol	0.058823529411764705	1	17
ikinumpisa	kinumpisa	1.0	1	1
malalignment	lalignment	1.0	1	1
ipinaparating	pinaparati	1.0	99	99
ilista	lista	0.034155761803193636	1185	34694
irecord	decord	0.04441355088900271	607	13667
mapapayo	payo	0.0012696083963435279	45	35444
pinapalakas	palakas	0.04244332493702771	337	7940
magrekuminda	dekuminda	0.5	1	2
maiistress	tiistress	0.17647058823529413	6	34
magrekumenda	dekumenda	0.08791208791208792	8	91
kirurhikong	kirurhiko	0.008210180623973728	5	609
tiisin	tiis	0.0917277653809372	1151	12548
pahingapag	hingapag	1.0	1	1
garapata	dapata	0.017348685234168354	223	12854
abrebasyon	abrebasyon	1.0	2	2
porsiyong	porsiyo	1.0	1	1
inurong	uro	0.07704239917269907	149	1934
tagagabay	gabay	0.001081081081081081	21	19425
nakakatawid	tawid	0.0026226641897060432	24	9151
nagulantang	ulanta	0.9859594383775351	632	641
nakatatandnag	tatandnag	1.0	1	1
pasayaw	sayaw	0.003332888948140248	50	15002
ginisa	ginisa	0.8108108108108109	240	296
kuliling	kulili	0.4117647058823529	21	51
litsugas	litsugas	1.0	121	121
naipababatid	tipababatid	0.9230769230769231	12	13
mayroong1	mayroong1	1.0	1	1
dalawampunglimang	dalawampunglima	1.0	3	3
kalumbahin	lumba	0.0070921985815602835	1	141
kumikislap	kislap	0.27835723598435463	427	1534
nakapaglalakbay	paglalakb	1.0	36	36
nangangalat	angalat	0.19557195571955718	106	542
nakakaraktera	daktera	0.1111111111111111	1	9
paghahalili	hahalili	0.10031847133757962	63	628
ipagkasya	kasya	0.0074262263044752785	38	5117
tugmang	tugma	0.034700588438906194	401	11556
sanggalang	sanggala	0.19744318181818182	139	704
tanggol	tanggol	0.01576853526220615	218	13825
pamprotekta	protekta	0.001295001295001295	15	11583
upong	upo	0.012524020939632894	189	15091
nagrereynang	dereyna	0.02564102564102564	2	78
maiahon	tiahon	0.7947882736156352	488	614
dagling	dagli	0.09967751392553503	340	3411
madidiskubre	diskubre	0.022834193918531268	199	8715
barumbadong	barumbado	0.23529411764705882	56	238
brods	brods	1.0	215	215
naninira	nira	0.09256945111986926	963	10403
sayobastat	sayobastat	1.0	2	2
dibdibinkung	dibinko	1.0	1	1
papatulan	patol	0.027338664682908687	735	26885
aasarin	aasad	0.6046511627906976	104	172
ltuloy	ltuloy	0.5	1	2
papansinin	nsinin	0.16737864077669903	862	5150
nagkakaganyan	ganay	0.004008810572687225	91	22700
jickain	jicka	0.9838709677419355	61	62
ikinilos	kinilos	1.0	302	302
pinapahirapan	pahirap	0.11481347337921043	317	2761
ibinibilanggo	binibilanggo	1.0	32	32
bihon	bihon	0.9887005649717514	175	177
naisantabi	tisantabi	0.4452296819787986	126	283
magtawagan	gtawag	0.96875	62	64
pinakamahiyain	kamahiya	0.04424778761061947	5	113
ikasasama	sama	0.0004725634442972477	178	376669
kapitbayan	pitbay	0.8095238095238095	17	21
magbibiyahe	biyahe	0.004219409282700422	90	21330
magkakahubog	kahubog	0.022222222222222223	1	45
nagbilang	bila	0.00021217539575533477	110	518439
tagapagmanehong	pagmaneho	0.008264462809917356	1	121
natitingnang	tingna	0.0016863406408094434	1	593
pagkakakalas	kakalas	0.7142857142857143	5	7
kumakalas	kalas	0.01748750892219843	49	2802
pinakamababaluktot	mababaluktot	1.0	1	1
malilikhang	likha	0.0005435626650100948	35	64390
olohiya	olohiya	1.0	5	5
ispesyalidad	spesyalidad	0.75	3	4
nakikipagpatungan	kipagpatong	1.0	1	1
onkolohiyang	onkolohiya	0.25	1	4
sedimentasyon	sedimentasyon	1.0	8	8
palibhasa	libhasa	0.9922199170124482	1913	1928
proteksiyonng	proteksiyon	0.000501378791677112	2	3989
panunungayaw	nungayaw	0.3434343434343434	68	198
kumikinang	kina	0.023955068731188134	772	32227
simoundou	simoundoo	1.0	1	1
pampalusog	lusog	0.027270002996703627	1183	43381
padalahan	dala	0.0002729092122020741	36	131912
karampatan	dampat	0.9357798165137615	102	109
maghagis	hagis	0.03856981981981982	137	3552
makipagbuno	pagbuno	0.9626168224299065	103	107
matitipunong	tipuno	0.03259726603575184	31	951
matatanggihang	tanggiha	0.03773584905660377	6	159
pinagpipilitang	pilita	0.010599721059972107	38	3585
sinasaksak	sasaksak	0.06478537360890302	163	2516
kombulsyon	kombulsyon	0.7798165137614679	85	109
pumipitong	pito	0.00013544170927437104	4	29533
paghinalaan	hinala	0.020404693079408263	120	5881
nadadamay	damay	0.06005493985033627	634	10557
makahawa	hawa	0.07523352688714971	596	7922
kumalaw	kalaw	0.001890359168241966	1	529
pagtapik	tapik	0.05922396187882913	87	1469
komunidadpulmonyang	komunidadpulmonya	1.0	1	1
nagpoprotektang	poprotekta	0.0006565988181221273	2	3046
bubuti	buti	0.0025211597334773997	294	116613
pagkakaospitalhabang	ospitalhaba	1.0	1	1
masopital	sopital	1.0	1	1
mucolytics	mucolytics	1.0	1	1
pinapabuti	pabuti	0.01236628480388438	163	13181
pipiliing	pilii	0.342143906020558	233	681
pampatay	patay	0.00023999582615954505	46	191670
bumubuti	buti	0.0038674933326473034	451	116613
maiimpekisyon	tiimpekisyon	1.0	1	1
hihinga	hinga	0.0024577901260953196	69	28074
ngitim	ngitim	0.9	9	10
kahirapa	hirapa	0.0012940795858945326	4	3091
nagpabuti	pabuti	0.003186404673393521	42	13181
nagmamalasakit	palasakit	0.9886822958771221	1223	1237
umuubo	umuubo	0.9862068965517241	143	145
panglobo	lobo	0.0002161227577263886	1	4627
makapagdagdag	dagdag	0.0010106466395999234	116	114778
napakagrabe	pakagrabe	0.5	8	16
bibliyograpiya	bibliyograpiya	0.9545454545454546	21	22
pangmatika	matika	1.0	1	1
kampeonto	mpeonto	1.0	1	1
pinunan	punan	0.03467908902691511	201	5796
maaalala	taalala	0.18331968331968332	1343	7326
nakakabiglang	bigla	0.0002917631612538522	16	54839
pakikitira	kitira	0.015432098765432098	5	324
luhaang	luhaa	0.9702970297029703	98	101
sinapantaha	sapantaha	0.10772357723577236	53	492
nakapglaro	kapglaro	1.0	2	2
iakalawang	akalawa	1.0	2	2
nagdaramihang	daramiha	0.3333333333333333	2	6
leptonikong	leptoniko	0.4	2	5
